file,severity,message
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_date_questions.yaml,warning,metadata.pack_name is deprecated. Use metadata.id instead.
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_dates.yaml,warning,metadata.pack_name is deprecated. Use metadata.id instead.
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_dates.yaml,warning,"metadata.source_lang is deprecated. Move language codes into localisation, not the pack."
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_dates.yaml,warning,"metadata.target_lang is deprecated. Move language codes into localisation, not the pack."
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_dates.yaml,error,metadata missing required field: id
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_dates_months.yaml,warning,Unknown top-level key: pack
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_dates_months.yaml,error,Missing required top-level key: metadata. Expected `metadata:` and `entries:` at the top of the file.
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_dates_months.yaml,error,metadata must be a mapping (Hash). Got: NilClass
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_greetings.yaml,warning,metadata.pack_name is deprecated. Use metadata.id instead.
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_greetings.yaml,warning,"metadata.source_lang is deprecated. Move language codes into localisation, not the pack."
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_greetings.yaml,warning,"metadata.target_lang is deprecated. Move language codes into localisation, not the pack."
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_greetings.yaml,error,metadata missing required field: id
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_month_cases.yaml,warning,metadata.pack_name is deprecated. Use metadata.id instead.
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_month_phrases.yaml,warning,metadata.pack_name is deprecated. Use metadata.id instead.
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_months.yaml,warning,metadata.pack_name is deprecated. Use metadata.id instead.
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_ordinals.yaml,warning,Unknown top-level key: pack
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_ordinals.yaml,error,Missing required top-level key: metadata. Expected `metadata:` and `entries:` at the top of the file.
/Users/wayneb/Documents/github/linguatrain/packs/fi/class_questions/fi_ordinals.yaml,error,metadata must be a mapping (Hash). Got: NilClass
