date,count,uniques
2026-04-11,0,0
2026-04-12,0,0
2026-04-13,0,0
2026-04-14,1,1
2026-04-15,0,0
2026-04-16,8,5
2026-04-17,1,1
2026-04-18,0,0
2026-04-19,0,0
2026-04-20,1,1
2026-04-21,0,0
2026-04-22,1,1
2026-04-23,0,0
2026-04-24,0,0
2026-04-25,6,2
2026-04-26,1,1
2026-04-27,67,2
2026-04-28,0,0
2026-04-29,40,2
2026-04-30,6,1
2026-05-01,17,3
2026-05-02,0,0
2026-05-03,0,0
2026-05-04,24,2
2026-05-05,18,2
2026-05-06,5,1
2026-05-07,10,4
2026-05-08,7,3
2026-05-09,29,2
2026-05-10,34,4
2026-05-11,2,2
2026-05-12,7,1
2026-05-13,4,1
2026-05-14,9,2
2026-05-15,4,2
2026-05-16,0,0
2026-05-17,14,1
2026-05-18,3,1
2026-05-19,3,1
2026-05-20,24,1
2026-05-21,0,0
2026-05-22,0,0
2026-05-23,1,1
2026-05-24,13,2
2026-05-25,0,0
2026-05-26,1,1
2026-05-27,44,20
2026-05-28,11,4
